transaction_id,user_id,amount,timestamp,location,txn_type
TXN001,U1,5000,2026-03-01 10:00,Mumbai,normal
TXN002,U1,5200,2026-03-01 11:00,Mumbai,normal
TXN003,U1,5100,2026-03-01 12:00,Mumbai,normal
TXN004,U1,750000,2026-03-01 12:05,Delhi,anomaly
TXN005,U2,2000,2026-03-01 09:00,Bangalore,normal
TXN006,U2,2100,2026-03-01 10:00,Bangalore,normal
TXN007,U2,2200,2026-03-01 11:00,Bangalore,normal
TXN008,U2,250000,2026-03-01 11:10,Kolkata,anomaly
TXN009,U3,3000,2026-03-01 08:00,Chennai,normal
TXN010,U3,3200,2026-03-01 09:00,Chennai,normal
TXN011,U3,3500,2026-03-01 10:00,Chennai,normal
TXN012,U3,15000,2026-03-01 10:05,Dubai,anomaly
TXN013,U4,1000,2026-03-01 14:00,Pune,normal
TXN014,U4,1200,2026-03-01 14:30,Pune,normal
TXN015,U4,1100,2026-03-01 15:00,Pune,normal
TXN016,U4,90000,2026-03-01 15:05,Pune,anomaly
TXN017,U5,8000,2026-03-01 16:00,Hyderabad,normal
TXN018,U5,8200,2026-03-01 17:00,Hyderabad,normal
TXN019,U5,7800,2026-03-01 18:00,Hyderabad,normal
TXN020,U5,300000,2026-03-01 18:10,Jaipur,anomaly